1521560131746,metadata_log_format,wifi-ble-imu-cell collection
1521560131747,metadata_system_time,1521560131747
1521560131747,metadata_surveyName,/storage/emulated/0/FIND-IT/log.csv
1521560131747,metadata_notes,new collection
1521560131747,metadata_deviceInfo,Boardmsm8952Brand,LenovoDevice,PB2PROHardware,qcomManufacturer,LENOVOModel,Lenovo PB2-690MProduct,phinny_row
83698353406404,compass,AK09911 Magnetometer -Wakeup Secondary,-11.875916,-24.822998,-34.57489,1
83698353601300,accel,BMI160 Accelerometer -Wakeup Secondary,-0.29197693,2.287796,9.239273,3
83698353808539,rotVectorGyro,Game Rotation Vector -Wakeup Secondary,0.07524907,0.09172916,0.7000215,0.7041969,3
83698354020831,rotVectorAll,Rotation Vector,0.04807959,-0.10846664,-0.94380677,0.3084674,0.5235988,3
83698404872289,gyro,BMI160 Gyroscope -Wakeup Secondary,-0.07594299,-0.050308228,0.01411438,3
83698405644581,linAccel,Linear Acceleration,-0.14631565,0.124610424,-0.36876297,3
83698405862550,orientation,Orientation -Wakeup Secondary,143.25433,-13.550084,-1.394865,1
83698406063018,rotVectorMagnetic,GeoMagnetic Rotation Vector -Wakeup Secondary,0.049041603,-0.108219184,-0.937558,0.32690755,0.5235988,3
83698406315622,compass,AK09911 Magnetometer -Wakeup Secondary,-11.120605,-24.090576,-34.580994,1
83698406510570,accel,BMI160 Accelerometer -Wakeup Secondary,-0.38294983,2.4015198,9.078857,3
83698406695675,rotVectorGyro,Game Rotation Vector -Wakeup Secondary,0.07493759,0.09190024,0.70054835,0.7036836,3
83698406908539,rotVectorAll,Rotation Vector,0.0486528,-0.10813972,-0.94278127,0.31161225,0.5235988,3
83698457922445,gyro,BMI160 Gyroscope -Wakeup Secondary,-0.058898926,-0.18560791,0.0236969,3
83698458323279,orientation,Orientation,143.11679,-13.3343115,-1.0777006,1
83698458553279,linAccel,Linear Acceleration,0.09957375,0.08969903,0.23772907,3
83698458909008,rotVectorMagnetic,GeoMagnetic Rotation Vector,0.051067952,-0.10816864,-0.936431,0.32983118,0.5235988,3
83698459181820,compass,AK09911 Magnetometer -Wakeup Secondary,-9.591675,-22.662354,-36.72638,1
83698459481560,accel,BMI160 Accelerometer -Wakeup Secondary,-0.039978027,2.3045502,9.791138,3
83698459655206,rotVectorGyro,Game Rotation Vector -Wakeup Secondary,0.0758475,0.08820488,0.70088154,0.70372736,3
83698459825987,rotVectorAll,Rotation Vector,0.045078803,-0.107241996,-0.94256765,0.31310263,0.5235988,3
83698510641247,gyro,BMI160 Gyroscope -Wakeup Secondary,-0.08232117,0.05088806,-0.008270264,3
83698510948383,linAccel,Linear Acceleration -Wakeup Secondary,0.09072295,-0.017369032,0.46211624,3
83698511102914,rotVectorAll,Rotation Vector -Wakeup Secondary,0.043666348,-0.106564775,-0.9426967,0.3131456,0.5235988,3
83698511319268,orientation,Orientation -Wakeup Secondary,143.14569,-13.196543,-0.89314353,1
83698511509008,rotVectorMagnetic,GeoMagnetic Rotation Vector -Wakeup Secondary,0.049994342,-0.10748921,-0.93724996,0.3278858,0.5235988,3
83698511806404,compass,AK09911 Magnetometer -Wakeup Secondary,-12.637329,-24.119568,-36.00464,1
83698511963643,accel,BMI160 Accelerometer -Wakeup Secondary,-0.060928345,2.2033997,9.932983,3
83698512126925,rotVectorGyro,Game Rotation Vector -Wakeup Secondary,0.07590578,0.08660897,0.70070225,0.7040977,3
83698563568643,gyro,BMI160 Gyroscope -Wakeup Secondary,0.032714844,-0.0077056885,-0.012527466,3
83698563950570,linAccel,Linear Acceleration -Wakeup Secondary,0.018263921,-0.1444788,0.4703169,3
83698564998956,rotVectorAll,Rotation Vector -Wakeup Secondary,0.044136565,-0.10495634,-0.94297427,0.31278697,0.5235988,3
83698565388643,orientation,Orientation -Wakeup Secondary,143.18326,-13.037445,-1.0073882,1
83698565599945,rotVectorMagnetic,GeoMagnetic Rotation Vector -Wakeup Secondary,0.048055045,-0.10543775,-0.9389608,0.32392314,0.5235988,3
83698565836195,compass,AK09911 Magnetometer -Wakeup Secondary,-11.140442,-22.631836,-34.59778,1
83698566019529,accel,BMI160 Accelerometer -Wakeup Secondary,-0.14772034,2.097458,9.929398,3
83698566201091,rotVectorGyro,Game Rotation Vector -Wakeup Secondary,0.07426376,0.086306214,0.70044535,0.7045654,3
83698616984424,gyro,BMI160 Gyroscope -Wakeup Secondary,0.034851074,0.07432556,0.038604736,3
83698617501716,orientation,Orientation,143.134,-13.143062,-1.1911777,1
83698617817393,linAccel,Linear Acceleration -Wakeup Secondary,0.17666452,0.099117994,-0.16827679,3
83698618119997,rotVectorAll,Rotation Vector -Wakeup Secondary,0.045981266,-0.10530085,-0.94278616,0.3129724,0.5235988,3
83698618559581,rotVectorMagnetic,GeoMagnetic Rotation Vector,0.046635844,-0.104905866,-0.9399012,0.32156742,0.5235988,3
83698618913331,compass,AK09911 Magnetometer -Wakeup Secondary,-11.856079,-24.858093,-36.706543,1
83698619191247,accel,BMI160 Accelerometer -Wakeup Secondary,-0.0262146,2.3177185,9.333237,3
83698619461612,rotVectorGyro,Game Rotation Vector -Wakeup Secondary,0.07368913,0.08816155,0.7010103,0.7038338,3
83698637079685,ble,FC:A2:46:3D:2C:8A,Adafruit Bluefruit LE,-79
83698662372758,ble,24:0A:C4:00:98:A0,BEACON_2,-84
83698670378695,gyro,BMI160 Gyroscope -Wakeup Secondary,0.016738892,-0.0013122559,-0.0466156,3
83698670728695,linAccel,Linear Acceleration -Wakeup Secondary,0.045260683,-0.063381195,-0.12577534,3
83698670901039,rotVectorAll,Rotation Vector -Wakeup Secondary,0.046357818,-0.10603597,-0.9429083,0.31229994,0.5235988,3
83698671206247,orientation,Orientation -Wakeup Secondary,143.2084,-13.241002,-1.2151773,1
83698671458070,rotVectorMagnetic,GeoMagnetic Rotation Vector,0.04547706,-0.10624675,-0.94013375,0.32061183,0.5235988,3
83698671648904,compass,AK09911 Magnetometer -Wakeup Secondary,-10.343933,-24.111938,-36.001587,1
83698671794633,accel,BMI160 Accelerometer -Wakeup Secondary,-0.17704773,2.2207642,9.354782,3
83698671938383,rotVectorGyro,Game Rotation Vector -Wakeup Secondary,0.07421735,0.08884607,0.7003312,0.7043681,3
83698722614997,gyro,BMI160 Gyroscope -Wakeup Secondary,-0.023742676,-0.010894775,-0.07217407,3
83698723147133,orientation,Orientation,143.36743,-13.223727,-1.216186,1
83698723448643,linAccel,Linear Acceleration -Wakeup Secondary,0.057231814,-0.04920554,-0.17467022,3
83698723773122,rotVectorAll,Rotation Vector -Wakeup Secondary,0.04619132,-0.105990015,-0.94335306,0.3107887,0.5235988,3
83698724145518,rotVectorGyro,Game Rotation Vector,0.07418983,0.08859627,0.69937104,0.7053557,3
83698724694841,rotVectorMagnetic,GeoMagnetic Rotation Vector -Wakeup Secondary,0.04503884,-0.106870525,-0.94018656,0.32031137,0.5235988,3
83698725079477,compass,AK09911 Magnetometer -Wakeup Secondary,-11.105347,-24.832153,-35.284424,1
