user,label,collection_datetime,device_timestamp,orient_x,orient_y,orient_z
ugur,1,2018-03-29 22:04:55,1335487038812,80.01904,-7.330773,1.9214642
ugur,1,2018-03-29 22:04:55,1335433972301,81.13797,-7.076296,1.6991376
ugur,1,2018-03-29 22:04:55,1335381583395,82.21051,-6.8856564,0.7135382
ugur,1,2018-03-29 22:04:55,1335325075322,83.37561,-6.0728655,0.09244281
ugur,1,2018-03-29 22:04:55,1335269589905,84.36539,-5.856183,1.848194
ugur,1,2018-03-29 22:04:55,1335215841207,84.32086,-6.955049,2.12762
ugur,1,2018-03-29 22:04:55,1335161795582,85.608734,-6.3218107,2.293329
ugur,1,2018-03-29 22:04:55,1335106958187,87.05118,-5.8078094,2.119408
ugur,1,2018-03-29 22:04:55,1335053991989,87.66318,-5.9930453,1.7977852
ugur,1,2018-03-29 22:04:55,1335000867353,87.3504,-6.3165507,1.6316139
ugur,1,2018-03-29 22:04:55,1334947761468,86.644745,-6.148696,2.2054896
ugur,1,2018-03-29 22:04:55,1334895433655,85.36435,-5.687312,3.343426
ugur,1,2018-03-29 22:04:55,1334842949437,83.93323,-5.3111978,4.4521885
ugur,1,2018-03-29 22:04:55,1334790158031,82.65842,-4.792959,5.2386937
ugur,1,2018-03-29 22:04:55,1334736571624,82.54587,-3.9093995,4.9758353
ugur,1,2018-03-29 22:04:55,1334683643551,81.686646,-4.9010706,4.857156
ugur,1,2018-03-29 22:04:55,1334630726676,79.9151,-7.2636333,4.2955813
ugur,1,2018-03-29 22:04:55,1334576951156,79.52457,-7.8015313,4.1515656
ugur,1,2018-03-29 22:04:55,1334523396156,78.565674,-8.343149,2.5099437
ugur,1,2018-03-29 22:04:55,1334471172093,78.01813,-8.702121,2.0303185
ugur,1,2018-03-29 22:04:55,1334418398499,77.7359,-8.824428,1.4895724
ugur,1,2018-03-29 22:04:55,1334363130114,78.11276,-8.303194,0.9730614
ugur,1,2018-03-29 22:04:55,1334309652874,78.87784,-7.6795955,1.682545
ugur,1,2018-03-29 22:04:55,1334254176937,79.55069,-7.204876,1.8351542
ugur,1,2018-03-29 22:04:55,1334200461989,79.93161,-7.3165545,1.9188374
ugur,1,2018-03-29 22:04:55,1334147174645,80.39392,-6.6119256,0.84142464
ugur,1,2018-03-29 22:04:55,1334093571677,81.72186,-5.99732,1.7246068
ugur,1,2018-03-29 22:04:55,1334040459177,81.61328,-7.112232,1.7348295
ugur,1,2018-03-29 22:04:55,1333987736052,82.62366,-7.292665,1.8615398
ugur,1,2018-03-29 22:04:55,1333932878343,83.59296,-6.9308453,1.8967625
ugur,1,2018-03-29 22:04:55,1333876939489,83.98651,-7.0647044,2.2686267
ugur,1,2018-03-29 22:04:55,1333822901312,83.5477,-7.3393083,2.5028753
ugur,1,2018-03-29 22:04:55,1333770327562,82.66525,-7.352088,2.5464804
ugur,1,2018-03-29 22:04:55,1333718042510,81.53021,-6.953696,3.1348498
