user,label,collection_datetime,device_timestamp,linaccel_x,linaccel_y,linaccel_z
ugur,1,2018-03-23 10:34:21,237969588571787,0.073929965,-0.23042488,-3.881804
ugur,1,2018-03-23 10:34:21,237969528776940,-0.05926633,-0.6877948,-1.7255206
ugur,1,2018-03-23 10:34:21,237969469368402,0.19297266,-0.88878953,-0.60439587
ugur,1,2018-03-23 10:34:21,237969410209287,-0.3476801,-1.422343,2.2040415
ugur,1,2018-03-23 10:34:21,237969353236941,-0.639091,-0.5851468,2.1138582
ugur,1,2018-03-23 10:34:21,237969296351710,0.56557554,-0.32091272,4.474968
ugur,1,2018-03-23 10:34:21,237969238088633,0.20150778,0.31590903,2.7418718
ugur,1,2018-03-23 10:34:21,237969178045556,0.078440994,0.4432205,0.24729443
ugur,1,2018-03-23 10:34:21,237969116861710,-0.20794079,0.13449752,-0.72847176
ugur,1,2018-03-23 10:34:21,237969057336748,0.16109693,0.14454877,-3.6282582
ugur,1,2018-03-23 10:34:21,237968995985056,-0.54659414,-0.18548834,-3.3769445
ugur,1,2018-03-23 10:34:21,237968935634979,-0.44838977,-0.46212387,-2.8391352
ugur,1,2018-03-23 10:34:21,237968875407133,0.7408452,-0.5309366,-0.07942104
ugur,1,2018-03-23 10:34:21,237968816029633,2.304216,-0.021366954,-0.52908325
ugur,1,2018-03-23 10:34:21,237968756351249,-0.7828865,-1.2015184,5.7660704
ugur,1,2018-03-23 10:34:21,237968696710903,0.56055146,-0.76025164,4.451211
ugur,1,2018-03-23 10:34:21,237968635824210,-0.3651957,-0.3447833,0.9545984
ugur,1,2018-03-23 10:34:21,237968575733480,-0.62059987,-0.044076443,-0.76253796
ugur,1,2018-03-23 10:34:21,237968516572364,-0.15450588,0.0825572,-1.9749084
ugur,1,2018-03-23 10:34:21,237968457359133,0.21431309,0.0032088757,-2.5640526
ugur,1,2018-03-23 10:34:21,237968397888287,-0.37724742,-0.35979605,-2.9455953
ugur,1,2018-03-23 10:34:21,237968338152364,-0.42652786,-0.7244275,-0.78537655
ugur,1,2018-03-23 10:34:21,237968278759172,-0.2252797,-0.37594056,-0.5000229
ugur,1,2018-03-23 10:34:21,237968219285134,-0.37512255,-0.44293815,-0.9867163
ugur,1,2018-03-23 10:34:21,237968158780018,-0.42269006,-0.8747711,3.154747
ugur,1,2018-03-23 10:34:21,237968098863018,0.21094877,-0.70976996,5.9841766
ugur,1,2018-03-23 10:34:21,237968040687672,0.68516874,-0.16894233,1.1404514
ugur,1,2018-03-23 10:34:21,237967981250288,-0.77755797,0.04231584,0.60968685
ugur,1,2018-03-23 10:34:21,237967926227172,0.10362393,0.30379856,-2.1237469
ugur,1,2018-03-23 10:34:21,237967871777672,-0.35813627,-0.0012900829,-2.7093997
ugur,1,2018-03-23 10:34:21,237967812669672,-0.2458699,-0.103236794,-3.609396
ugur,1,2018-03-23 10:34:21,237967752987865,-0.4312442,-0.42754507,-2.0215573
ugur,1,2018-03-23 10:34:21,237967693140096,-0.12913197,-0.53088504,0.020843506
ugur,1,2018-03-23 10:34:21,237967633545634,2.4609544,0.21093017,0.06675434
ugur,1,2018-03-23 10:34:21,237967574273134,0.282201,0.07313079,0.37773132
ugur,1,2018-03-23 10:34:21,237967516860673,-0.81509924,-1.0218333,6.370425
ugur,1,2018-03-23 10:34:21,237967458674750,0.9441524,-0.09627211,1.1938086
ugur,1,2018-03-23 10:34:21,237967397951788,-0.6027571,-0.91402113,2.3899517
ugur,1,2018-03-23 10:34:21,237967337873596,0.16529936,-0.23002934,-1.5221834
ugur,1,2018-03-23 10:34:21,237967278584788,0.3426461,-0.254179,-2.0953016
ugur,1,2018-03-23 10:34:21,237967219031942,0.119758695,-0.4555608,-2.4105263
ugur,1,2018-03-23 10:34:21,237967159615942,-0.12598912,-0.5766133,-2.8404808
ugur,1,2018-03-23 10:34:21,237967099744019,-0.47060055,-1.131842,-0.6131382
ugur,1,2018-03-23 10:34:21,237967039563596,0.44696814,-1.13392,-0.6164112
ugur,1,2018-03-23 10:34:21,237966979295442,-0.16222101,-0.6518236,-2.5607595
ugur,1,2018-03-23 10:34:21,237966919255135,-0.51069343,-1.1530894,1.2468882
ugur,1,2018-03-23 10:34:21,237966859365942,0.40643823,-1.4167652,5.033272
