user,label,collection_datetime,device_timestamp,accel_x,accel_y,accel_z
ugur,1,2018-03-23 10:34:21,238078902244093,0.5554548,1.3790601,10.42196
ugur,1,2018-03-23 10:34:21,238078841098939,0.830788,1.3958195,9.13388
ugur,1,2018-03-23 10:34:21,238078778874978,0.7134721,1.4676456,10.510546
ugur,1,2018-03-23 10:34:21,238078721790670,-0.7613561,1.532289,9.785102
ugur,1,2018-03-23 10:34:21,238078664924324,-0.2777274,1.9153614,8.791509
ugur,1,2018-03-23 10:34:21,238078608262709,-0.4189853,1.4077905,10.235212
ugur,1,2018-03-23 10:34:21,238078551970516,0.033518825,1.8387469,9.064447
ugur,1,2018-03-23 10:34:21,238078495824786,-0.45729253,1.5394717,9.667787
ugur,1,2018-03-23 10:34:21,238078441191786,0.02873042,1.9440918,8.35337
ugur,1,2018-03-23 10:34:21,238078386800363,0.260968,1.673547,10.903194
ugur,1,2018-03-23 10:34:21,238054857439879,-1.7070658,1.745373,8.255207
ugur,1,2018-03-23 10:34:21,238054802985572,-0.20590134,1.9919758,10.7356
ugur,1,2018-03-23 10:34:21,238054737051226,-0.61770403,1.7190368,10.163386
ugur,1,2018-03-23 10:34:21,238054677741303,-0.39983168,1.8674773,9.394848
ugur,1,2018-03-23 10:34:21,238054618528726,-0.49799395,1.7022774,9.636662
ugur,1,2018-03-23 10:34:21,238054558864726,-0.50517654,1.4748282,9.473856
ugur,1,2018-03-23 10:34:21,238054498813918,-0.045489833,1.7381904,9.392453
ugur,1,2018-03-23 10:34:21,238054439633457,-0.095768064,1.8004397,9.378088
ugur,1,2018-03-23 10:34:21,238054380541995,-0.14604631,1.7836803,9.454702
ugur,1,2018-03-23 10:34:21,238054321256572,-0.2801216,1.6807296,9.696517
ugur,1,2018-03-23 10:34:21,238054261905534,-0.20829555,1.8555063,9.504981
ugur,1,2018-03-23 10:34:21,238054202359803,-0.47644615,1.6831238,9.713276
ugur,1,2018-03-23 10:34:21,238054142483841,-0.1364695,1.6232687,9.181764
ugur,1,2018-03-23 10:34:21,238054083105880,-0.29927522,1.6950948,9.809045
ugur,1,2018-03-23 10:34:21,238054023291572,-0.20590134,1.7956513,9.272743
ugur,1,2018-03-23 10:34:21,238053963394457,-0.23942018,1.7262194,9.720459
ugur,1,2018-03-23 10:34:21,238053904063495,-0.35913026,1.8291701,9.169792
ugur,1,2018-03-23 10:34:21,238053844159265,-0.2777274,1.7621324,9.665392
ugur,1,2018-03-23 10:34:21,238053784424188,-0.23223756,1.70946,9.67018
ugur,1,2018-03-23 10:34:21,238053724125380,-0.31364042,1.6208745,9.490616
ugur,1,2018-03-23 10:34:21,238053664927996,-0.2633622,1.70946,9.583989
ugur,1,2018-03-23 10:34:21,238053605492573,-0.22984336,1.6065093,9.524135
ugur,1,2018-03-23 10:34:21,238053546233688,-0.23702596,1.7549498,9.572019
ugur,1,2018-03-23 10:34:21,238053484340880,-0.40701428,1.6950948,9.722853
ugur,1,2018-03-23 10:34:21,238053428247919,-0.22026655,1.6519991,9.267955
ugur,1,2018-03-23 10:34:21,238053367597880,-0.021547815,1.7501614,9.552865
ugur,1,2018-03-23 10:34:21,238053308170919,-0.22026655,1.6927006,9.543288
ugur,1,2018-03-23 10:34:21,238053249027457,-0.16519992,1.7166426,9.334992
ugur,1,2018-03-23 10:34:21,238053188883611,-0.12210429,1.6496049,9.41879
ugur,1,2018-03-23 10:34:21,238053128595881,-0.21787235,1.6950948,9.763555
ugur,1,2018-03-23 10:34:21,238053069244111,0.062249243,1.7597382,9.562442
ugur,1,2018-03-23 10:34:21,238053009550188,-0.09816227,1.6232687,9.8042555
ugur,1,2018-03-23 10:34:21,238052946469650,-0.07182605,1.6903064,9.351752
ugur,1,2018-03-23 10:34:21,238052887206227,-0.24899697,1.6831238,9.560047
ugur,1,2018-03-23 10:34:21,238052823742958,-0.17238252,1.7022774,9.179369
ugur,1,2018-03-23 10:34:21,238052761879227,0.10534488,1.6448165,9.44752
ugur,1,2018-03-23 10:34:21,238052702685458,-0.20829555,1.4628572,10.821792
ugur,1,2018-03-23 10:34:21,238052639645842,-0.3878607,1.2976574,10.117896
ugur,1,2018-03-23 10:34:21,238052579906650,-0.32561144,1.5179238,9.457097
ugur,1,2018-03-23 10:34:21,238052520810189,-0.10295067,1.5251064,9.531317
ugur,1,2018-03-23 10:34:21,238052461543266,0.009576807,1.436521,9.718064
ugur,1,2018-03-23 10:34:21,238052400553304,-0.033518825,1.5945383,9.481039
ugur,1,2018-03-23 10:34:21,238052334377843,-0.011971008,1.4628572,9.665392
ugur,1,2018-03-23 10:34:21,238052274611112,-0.08619126,1.3790601,10.115502
ugur,1,2018-03-23 10:34:21,238052212563266,0.21787235,1.5682021,8.908825
ugur,1,2018-03-23 10:34:21,238052152617420,-0.095768064,1.3503298,9.737218
ugur,1,2018-03-23 10:34:21,238052091118151,-0.1604115,1.4939818,9.988609
ugur,1,2018-03-23 10:34:21,238052031490881,0.076614454,1.5490485,9.624691
ugur,1,2018-03-23 10:34:21,238051971865612,0.021547815,1.4460979,10.06283
ugur,1,2018-03-23 10:34:21,238051912335228,-0.04070143,1.4652514,9.174581
ugur,1,2018-03-23 10:34:21,238051851294035,0.18435353,1.2521675,9.272743
ugur,1,2018-03-23 10:34:21,238051789306920,0.25617957,1.3024458,9.720459
ugur,1,2018-03-23 10:34:21,238051730319959,0.6823475,1.4269443,8.796297
ugur,1,2018-03-23 10:34:21,238051671249843,0.7541735,1.6448165,9.409213
ugur,1,2018-03-23 10:34:21,238051612112574,0.6775591,1.3263878,9.172187
ugur,1,2018-03-23 10:34:21,238051552410112,0.8475474,1.0510546,10.005369
ugur,1,2018-03-23 10:34:21,238051493295074,1.2162545,0.78529817,9.97185
ugur,1,2018-03-23 10:34:21,238051433727843,-0.44771573,1.6089035,10.673351
ugur,1,2018-03-23 10:34:21,238051372373420,0.18914193,0.6512229,10.721235
ugur,1,2018-03-23 10:34:21,238051313157574,0.48362875,0.91458505,8.53054
ugur,1,2018-03-23 10:34:21,238051256969459,0.035913024,0.6775591,8.851364
ugur,1,2018-03-23 10:34:21,238051198669651,-0.07182605,0.29448682,9.392453
ugur,1,2018-03-23 10:34:21,238051137695728,0.79726917,0.30406362,10.187328
ugur,1,2018-03-23 10:34:21,238051078542421,0.8595184,0.9648633,7.881712
ugur,1,2018-03-23 10:34:21,238051018689882,0.22026655,0.830788,11.274296
ugur,1,2018-03-23 10:34:21,238050961220805,0.8331822,1.6041151,11.410766
ugur,1,2018-03-23 10:34:21,238050903341459,-0.17717093,2.920926,9.976639
ugur,1,2018-03-23 10:34:21,238050845045344,-0.016759412,2.882619,10.275913
ugur,1,2018-03-23 10:34:21,238050785933844,-0.37110126,2.8443117,9.536105
ugur,1,2018-03-23 10:34:21,238050726749344,-0.08619126,2.8203697,7.893683
ugur,1,2018-03-23 10:34:21,238050667510921,0.25139117,2.0973208,8.449138
ugur,1,2018-03-23 10:34:21,238050607014536,0.4333505,1.8507179,7.1730285
ugur,1,2018-03-23 10:34:21,238050547617844,0.34476504,1.316811,8.710106
ugur,1,2018-03-23 10:34:21,238050488209190,0.45250413,0.81642276,9.081207
ugur,1,2018-03-23 10:34:21,238050432479690,-0.58418524,0.79248077,8.805874
ugur,1,2018-03-23 10:34:21,238050373476613,-1.1492168,0.8858546,8.549694
ugur,1,2018-03-23 10:34:21,238050314090152,-0.2705448,1.4676456,12.694057
ugur,1,2018-03-23 10:34:21,238050254750229,1.271321,2.4061728,13.194446
ugur,1,2018-03-23 10:34:21,238050195485075,0.31364042,3.2728736,10.34774
ugur,1,2018-03-23 10:34:21,238050135837152,0.24899697,3.2680852,9.414001
ugur,1,2018-03-23 10:34:21,238050076563575,-0.12689269,2.6527755,8.983045
ugur,1,2018-03-23 10:34:21,238050017256844,-0.40222588,2.171541,8.367735
ugur,1,2018-03-23 10:34:21,238049958153575,-0.093373865,1.9536686,7.6470804
ugur,1,2018-03-23 10:34:21,238049898091383,-0.19153613,1.5131354,7.5465236
ugur,1,2018-03-23 10:34:21,238049843806037,0.4405331,1.2665327,7.0581064
ugur,1,2018-03-23 10:34:21,238049788717229,3.335123,0.9840169,8.736442
ugur,1,2018-03-23 10:34:21,238049731512575,2.7150247,0.9720459,9.064447
ugur,1,2018-03-23 10:34:21,238049671719229,0.6584055,0.5602432,14.841657
ugur,1,2018-03-23 10:34:21,238049615957768,0.58897364,1.4580688,13.532028
ugur,1,2018-03-23 10:34:21,238049559367383,0.24181437,2.3175871,10.565612
ugur,1,2018-03-23 10:34:21,238049500773768,-0.021547815,2.6479871,9.509769
ugur,1,2018-03-23 10:34:21,238049444092576,-0.4237737,2.4540567,8.722076
ugur,1,2018-03-23 10:34:21,238049381249691,0.35194764,2.1883004,7.177817
ugur,1,2018-03-23 10:34:21,238049321896537,0.14844051,1.7836803,7.5824366
ugur,1,2018-03-23 10:34:21,238049265788383,0.5674258,1.7070658,6.2584434
ugur,1,2018-03-23 10:34:21,238049206172806,0.37110126,1.0103531,9.718064
ugur,1,2018-03-23 10:34:21,238049146935960,0.35434186,0.94810385,10.16578
ugur,1,2018-03-23 10:34:21,238049086987845,-0.45250413,0.9888053,9.284714
ugur,1,2018-03-23 10:34:21,238049027873807,0.055066638,1.1300632,11.281479
ugur,1,2018-03-23 10:34:21,238048970370845,0.32800564,1.3383588,14.1664915
ugur,1,2018-03-23 10:34:21,238048912783345,0.48123455,2.2242134,10.31901
ugur,1,2018-03-23 10:34:21,238048856405268,0.6440403,2.4037786,9.715671
ugur,1,2018-03-23 10:34:21,238048798216922,0.91697925,2.1164744,9.629479
ugur,1,2018-03-23 10:34:21,238048739031538,0.5434838,1.7812861,9.260772
ugur,1,2018-03-23 10:34:21,238048678279115,-0.021547815,1.7836803,8.39886
ugur,1,2018-03-23 10:34:21,238048618206153,0.17956513,1.6783354,7.513005
ugur,1,2018-03-23 10:34:21,238048559048922,0.36870706,1.6687586,7.16824
ugur,1,2018-03-23 10:34:21,238048499587576,1.4580688,1.2761095,9.818622
ugur,1,2018-03-23 10:34:21,238048441096653,1.6950948,1.3144168,8.137892
ugur,1,2018-03-23 10:34:21,238048373369499,-0.89782566,0.19153613,13.965379
ugur,1,2018-03-23 10:34:21,238048317307384,1.2186487,1.3072342,11.868058
ugur,1,2018-03-23 10:34:21,238048262992846,-0.40940848,2.5905263,9.801862
ugur,1,2018-03-23 10:34:21,238048206351384,-0.4165911,1.970428,11.195287
ugur,1,2018-03-23 10:34:21,238048146425692,-0.46926352,2.1140802,8.765172
ugur,1,2018-03-23 10:34:21,238048087033230,0.4381389,2.1068976,7.2185183
ugur,1,2018-03-23 10:34:21,238048027760115,0.2681506,1.6783354,7.431602
ugur,1,2018-03-23 10:34:21,238047968560384,0.06703765,1.2306197,8.300697
ugur,1,2018-03-23 10:34:21,238047908676846,0.14844051,0.60812724,9.119514
